rental_id,car_id,checkin_type,state,delay,previous_id,time_delta,previous_delay
544198,263232,mobile,ended,83.0,538218.0,300.0,273.0
544741,374290,mobile,ended,-36.0,532043.0,180.0,101.0
545070,398326,mobile,ended,0.0,544957.0,270.0,13.0
548307,404571,mobile,ended,-4.0,532798.0,90.0,45.0
558441,358225,mobile,ended,4.0,552053.0,0.0,11.0
545750,393968,connect,ended,-11.0,548306.0,600.0,27.0
545916,307364,connect,ended,-77.0,545822.0,30.0,26.0
548110,379908,mobile,ended,-52.0,542260.0,720.0,45.0
546636,399528,connect,ended,4.0,545268.0,540.0,23.0
552365,404130,connect,ended,12.0,553206.0,480.0,18.0
549968,377004,mobile,ended,52.0,550088.0,30.0,142.0
551565,356673,mobile,ended,176.0,548460.0,60.0,30.0
551667,350149,mobile,ended,272.0,555318.0,150.0,29.0
552116,363280,mobile,ended,4.0,519547.0,540.0,73.0
554183,362187,connect,ended,-426.0,556500.0,180.0,15.0
549565,390692,mobile,ended,78.0,530304.0,0.0,39.0
551925,336629,mobile,ended,-21.0,550453.0,0.0,8.0
552303,354138,mobile,ended,-11.0,566927.0,570.0,142.0
553646,274001,mobile,ended,7.0,539712.0,120.0,134.0
555143,320834,connect,ended,25.0,564613.0,120.0,28.0
555258,229646,mobile,ended,79.0,550583.0,450.0,3.0
557709,404542,mobile,canceled,,555077.0,180.0,76.0
559739,308181,connect,ended,8.0,564990.0,120.0,133.0
559886,347011,mobile,ended,140.0,557366.0,60.0,62.0
557344,381994,mobile,ended,53.0,554398.0,60.0,14.0
557404,181625,connect,ended,-352.0,554077.0,120.0,6.0
561219,295860,mobile,ended,-5.0,574786.0,60.0,65.0
562075,403430,mobile,ended,70.0,554144.0,720.0,21.0
537360,367365,connect,ended,-370.0,543323.0,630.0,2.0
556362,351153,mobile,ended,17.0,554711.0,720.0,1.0
565591,381787,connect,ended,-4.0,572671.0,720.0,12.0
566774,377591,connect,ended,281.0,544588.0,0.0,50.0
535209,383540,mobile,ended,3.0,538639.0,330.0,38.0
558702,376840,connect,ended,-164.0,552598.0,690.0,10.0
558813,403430,mobile,ended,254.0,562075.0,660.0,70.0
561935,347464,connect,ended,116.0,566651.0,300.0,32.0
561947,390927,connect,ended,40.0,537960.0,660.0,31.0
562199,392479,mobile,ended,77.0,545594.0,720.0,22.0
564127,389565,connect,ended,81.0,565814.0,510.0,48.0
568539,375126,connect,ended,139.0,566798.0,630.0,50.0
572853,366164,connect,ended,39.0,569272.0,360.0,7.0
559950,380128,mobile,ended,-68.0,557700.0,360.0,315.0
515626,324197,mobile,ended,62.0,525338.0,210.0,19.0
526660,367632,connect,canceled,,563613.0,720.0,11.0
529626,324821,connect,ended,66.0,537033.0,720.0,8.0
532543,397470,mobile,ended,-5.0,537576.0,150.0,18.0
509463,339189,connect,ended,75.0,527519.0,360.0,137.0
511425,351146,mobile,ended,26.0,555546.0,90.0,2.0
513104,396552,mobile,ended,23.0,535313.0,720.0,23.0
524355,385972,mobile,ended,1.0,548080.0,660.0,34.0
536509,281116,mobile,ended,-79.0,529888.0,180.0,169.0
576292,181625,connect,ended,9.0,573698.0,90.0,61.0
512171,395608,mobile,ended,5.0,535039.0,180.0,62.0
526948,214635,connect,ended,29.0,522667.0,180.0,119.0
538820,261263,mobile,ended,-35.0,533521.0,180.0,20.0
541178,392635,mobile,ended,86.0,523175.0,0.0,2976.0
542245,383255,mobile,ended,451.0,539006.0,240.0,94.0
542392,379751,connect,ended,-33.0,541396.0,0.0,33.0
543696,347208,connect,ended,-141.0,538244.0,510.0,23.0
543791,391153,mobile,ended,310.0,544230.0,720.0,9.0
544030,404771,mobile,ended,72.0,543848.0,120.0,20.0
544902,387939,connect,ended,32.0,545532.0,510.0,7.0
545784,404020,mobile,ended,-11.0,543175.0,30.0,4.0
547047,337047,mobile,ended,-53.0,544443.0,30.0,56.0
547589,373367,mobile,ended,-3.0,545463.0,60.0,40.0
547981,372924,mobile,ended,36.0,550415.0,210.0,144.0
549430,366071,mobile,ended,-3.0,551575.0,180.0,22.0
549659,367608,connect,ended,-72.0,548833.0,120.0,75.0
552074,412682,mobile,ended,71.0,564237.0,240.0,13.0
553045,407524,mobile,ended,106.0,554266.0,480.0,106.0
556126,396250,mobile,canceled,,548864.0,510.0,527.0
558379,350769,mobile,ended,-73.0,537483.0,540.0,34.0
559326,412623,mobile,ended,46.0,557439.0,180.0,64.0
568573,342699,connect,ended,11.0,568298.0,60.0,7.0
573065,407084,mobile,ended,-105.0,569017.0,360.0,111.0
565262,333753,mobile,ended,163.0,564522.0,240.0,95.0
565247,406625,connect,ended,0.0,561277.0,0.0,39.0
565728,374486,mobile,ended,50.0,569229.0,360.0,46.0
565991,407389,mobile,ended,-70.0,567843.0,150.0,93.0
566349,384657,connect,ended,199.0,561722.0,690.0,224.0
568251,404629,mobile,ended,789.0,565555.0,60.0,101.0
570447,396289,mobile,ended,26.0,561080.0,180.0,107.0
574638,414681,mobile,ended,7.0,572181.0,180.0,147.0
537161,376760,connect,ended,-52.0,539557.0,90.0,21.0
534414,349861,mobile,ended,-130.0,539791.0,690.0,670.0
533591,377172,mobile,ended,33.0,540059.0,180.0,1.0
536697,316042,mobile,ended,-4.0,566005.0,0.0,354.0
538844,365926,connect,ended,-136.0,537243.0,300.0,242.0
538994,324821,connect,ended,-66.0,529626.0,600.0,66.0
541046,357005,mobile,ended,226.0,565872.0,420.0,62.0
566395,414230,mobile,ended,24.0,562156.0,0.0,249.0
566944,327575,mobile,ended,-174.0,553521.0,540.0,53.0
540121,401077,mobile,ended,-29.0,534332.0,30.0,44.0
540239,409690,mobile,canceled,,539958.0,390.0,299.0
543736,241021,connect,ended,-361.0,540311.0,30.0,48.0
568526,305307,mobile,ended,30.0,554547.0,120.0,70.0
571394,405433,mobile,ended,107.0,561213.0,300.0,124.0
573622,390479,mobile,ended,5.0,570957.0,120.0,7.0
535935,367535,mobile,ended,72.0,546067.0,270.0,33.0
537666,377509,mobile,ended,-65.0,538177.0,240.0,50.0
539758,397599,mobile,ended,138.0,540797.0,0.0,12.0
542962,337219,connect,ended,18.0,537400.0,240.0,1.0
543343,248300,connect,ended,140.0,564185.0,450.0,13.0
559899,375621,connect,canceled,,558588.0,660.0,41.0
562582,409345,mobile,ended,-31.0,563062.0,30.0,4.0
564075,401387,mobile,canceled,,552061.0,60.0,240.0
542207,368432,mobile,canceled,,556043.0,0.0,2.0
542224,327336,mobile,canceled,,538452.0,0.0,64.0
542891,325328,connect,ended,-163.0,549523.0,630.0,121.0
543525,386259,connect,ended,11.0,541605.0,0.0,1.0
544327,317819,mobile,ended,22.0,523988.0,420.0,86.0
544402,366164,connect,ended,-18.0,554118.0,720.0,113.0
544611,398802,mobile,ended,349.0,553900.0,690.0,8.0
567765,349655,mobile,ended,165.0,561557.0,0.0,4.0
569319,415157,mobile,ended,-53.0,563557.0,30.0,3.0
529571,388795,mobile,ended,-1707.0,546969.0,120.0,104.0
574019,374486,mobile,ended,42.0,565728.0,240.0,50.0
575497,356190,mobile,ended,702.0,574596.0,30.0,10.0
575539,294883,mobile,ended,85.0,572492.0,0.0,9.0
519027,298516,connect,ended,-39.0,549626.0,390.0,115.0
534020,384040,connect,canceled,,550585.0,0.0,42.0
527015,243721,mobile,canceled,,534917.0,120.0,131.0
534012,404774,mobile,ended,32.0,545232.0,300.0,63.0
538120,392368,connect,ended,-103.0,535637.0,120.0,21.0
540003,409113,mobile,ended,7.0,540751.0,180.0,204.0
547748,367164,mobile,ended,-347.0,523230.0,600.0,83.0
544389,385629,connect,ended,23.0,517515.0,0.0,33.0
543224,298429,connect,canceled,,540453.0,690.0,39.0
545099,389599,mobile,ended,56.0,539042.0,0.0,1500.0
528949,383144,connect,canceled,,540254.0,600.0,75.0
529225,364411,mobile,ended,88.0,547571.0,180.0,155.0
544692,405622,mobile,ended,39.0,522854.0,120.0,58.0
545045,377312,mobile,ended,22.0,563963.0,630.0,84.0
546031,318867,mobile,ended,18.0,530797.0,270.0,28.0
548763,334924,mobile,ended,66.0,534311.0,180.0,320.0
546727,401262,mobile,ended,39.0,544217.0,90.0,53.0
547095,339540,mobile,ended,119.0,535528.0,60.0,39.0
506452,393172,connect,ended,-93.0,555818.0,30.0,17.0
514488,179304,mobile,ended,124.0,557954.0,0.0,25.0
528560,377119,connect,ended,-369.0,539582.0,120.0,98.0
530110,216148,connect,ended,-211.0,541841.0,60.0,40.0
549023,365926,connect,canceled,,550970.0,0.0,596.0
550529,362531,connect,ended,-26.0,544688.0,660.0,334.0
543792,274598,mobile,ended,-199.0,536619.0,120.0,6.0
536765,347781,mobile,ended,-26.0,536981.0,600.0,5.0
538721,288611,mobile,ended,17.0,534242.0,60.0,12.0
507521,321752,connect,ended,54.0,547204.0,420.0,7.0
516252,284459,connect,ended,-42.0,535364.0,510.0,7.0
517818,377172,mobile,ended,-49.0,551053.0,30.0,19.0
529942,385128,mobile,ended,0.0,520000.0,120.0,29.0
532779,349678,connect,ended,-80.0,538006.0,30.0,4.0
538248,224967,mobile,ended,54.0,529692.0,0.0,16.0
538941,385178,connect,ended,241.0,540804.0,120.0,34.0
553518,317639,mobile,ended,-10.0,561611.0,120.0,39.0
553735,359049,connect,ended,33.0,550645.0,390.0,249.0
550036,396532,mobile,ended,2943.0,546881.0,0.0,12.0
551485,388895,mobile,ended,196.0,551404.0,120.0,48.0
551631,293523,mobile,ended,28.0,547485.0,0.0,18.0
541602,383110,connect,ended,-36.0,539987.0,720.0,76.0
541861,406413,mobile,ended,-46.0,540030.0,120.0,59.0
542701,409005,mobile,ended,-12.0,541529.0,60.0,17.0
543335,398876,mobile,ended,153.0,557295.0,540.0,29.0
544864,357860,connect,ended,-52.0,540016.0,450.0,16.0
545560,258737,mobile,ended,59.0,542993.0,0.0,39.0
545948,383344,connect,ended,83.0,519135.0,90.0,69.0
551368,359045,connect,ended,31.0,551957.0,30.0,3.0
551784,409345,mobile,ended,-17.0,557381.0,60.0,14.0
552111,313955,mobile,ended,-94.0,544602.0,300.0,42.0
552169,412539,mobile,ended,-262.0,551183.0,270.0,19.0
